Time_mean;Distance_mean;DistanceInMeters_mean;E_horison_mean;E_hover_mean;E_total_mean;NodesLost_mean;P_nodeloss;PRP;Scenario
5300.377358490566,2.792452830188679,55.84905660377358,6.769952830188679,409506.47570597887,409513.2456588089,0.9245283018867925,0.3584905660377358,PRP1,2
4797.943396226415,1.9433962264150944,38.867924528301884,4.711521226415094,370688.49214633723,370693.20366756356,0.49056603773584906,0.20754716981132076,PRP2,2
4323.245283018868,1.849056603773585,36.9811320754717,4.482806603773584,334013.37673167576,334017.85953827953,0.7924528301886793,0.22641509433962265,PRP3,2
370.2620547169811,739.2171018867924,14784.342037735849,1792.1394613867926,28606.39891458308,30398.53837596987,2.792452830188679,0.9622641509433962,PRP1,2
316.9894641509433,774.8768698113208,15497.537396226415,1878.5921112488206,24490.565391998138,26369.157503246952,1.9433962264150944,0.6792452830188679,PRP2,2
299.1722188679245,705.9351716981133,14118.703433962262,1711.4515818856132,23114.007303931015,24825.458885816628,1.849056603773585,0.6415094339622641,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
4306.375,0.45,9.0,1.09096875,332709.9808268252,332711.0717955752,0.1,0.05,PRP1,2
4916.45,0.825,16.5,2.000109375,379844.2971724582,379846.29728183325,0.2,0.125,PRP2,2
4407.45,0.525,10.5,1.2727968749999998,340519.02237849485,340520.2951753698,0.15,0.075,PRP3,2
335.6227258064517,969.408570967742,19388.171419354843,2350.209904239919,25930.168800467054,28280.378704706978,1.7419354838709677,0.967741935483871,PRP1,2
261.01328064516133,986.4760870967741,19729.521741935485,2391.587963655242,20165.852625235464,22557.4405888907,0.8709677419354839,0.6774193548387096,PRP2,2
249.6473333333333,907.2281166666667,18144.56233333333,2199.46116534375,19287.720991971528,21487.18215731527,0.7,0.3,PRP3,2
